N_Reinas,Algoritmo,Solucion,Explorados,Tiempo
4,Hill Climbing,False,12,0.0009982585906982422
4,Hill Climbing,False,12,0.0009999275207519531
4,Hill Climbing,False,12,0.0
4,Hill Climbing,False,12,0.0
4,Hill Climbing,False,6,0.00099945068359375
4,Hill Climbing,False,12,0.0009992122650146484
4,Hill Climbing,False,12,0.00099945068359375
4,Hill Climbing,False,12,0.0009987354278564453
4,Hill Climbing,False,12,0.0009996891021728516
4,Hill Climbing,False,12,0.0009996891021728516
4,Hill Climbing,False,9,0.00099945068359375
4,Hill Climbing,False,12,0.0
4,Hill Climbing,False,12,0.0009996891021728516
4,Hill Climbing,False,12,0.00099945068359375
4,Hill Climbing,False,6,0.0
4,Hill Climbing,False,12,0.0009989738464355469
4,Hill Climbing,False,12,0.0
4,Hill Climbing,False,12,0.0
4,Hill Climbing,False,12,0.0
4,Hill Climbing,False,12,0.00099945068359375
4,Hill Climbing,False,12,0.0
4,Hill Climbing,False,12,0.0
4,Hill Climbing,False,12,0.0
4,Hill Climbing,False,12,0.0009987354278564453
4,Hill Climbing,False,9,0.0009989738464355469
4,Hill Climbing,False,12,0.00099945068359375
4,Hill Climbing,False,9,0.0009996891021728516
4,Hill Climbing,False,12,0.0010004043579101562
4,Hill Climbing,False,12,0.0009992122650146484
4,Hill Climbing,False,12,0.0009992122650146484
8,Hill Climbing,False,56,0.002998828887939453
8,Hill Climbing,False,56,0.004996299743652344
8,Hill Climbing,False,56,0.0039980411529541016
8,Hill Climbing,False,56,0.0029981136322021484
8,Hill Climbing,False,42,0.005995988845825195
8,Hill Climbing,False,56,0.007995843887329102
8,Hill Climbing,False,56,0.002997875213623047
8,Hill Climbing,False,56,0.0069963932037353516
8,Hill Climbing,False,56,0.0019981861114501953
8,Hill Climbing,False,56,0.039975643157958984
8,Hill Climbing,False,56,0.0049974918365478516
8,Hill Climbing,False,56,0.001998424530029297
8,Hill Climbing,False,56,0.0049974918365478516
8,Hill Climbing,False,56,0.0019981861114501953
8,Hill Climbing,False,56,0.0019991397857666016
8,Hill Climbing,False,56,0.004997730255126953
8,Hill Climbing,False,56,0.0009987354278564453
8,Hill Climbing,False,56,0.001996755599975586
8,Hill Climbing,False,56,0.00899195671081543
8,Hill Climbing,False,56,0.005997180938720703
8,Hill Climbing,False,56,0.0039980411529541016
8,Hill Climbing,False,56,0.0020139217376708984
8,Hill Climbing,False,56,0.0019989013671875
8,Hill Climbing,False,56,0.0009980201721191406
8,Hill Climbing,False,56,0.0010006427764892578
8,Hill Climbing,False,56,0.0019986629486083984
8,Hill Climbing,False,56,0.001998424530029297
8,Hill Climbing,False,56,0.003998279571533203
8,Hill Climbing,False,56,0.001998424530029297
8,Hill Climbing,False,56,0.0019979476928710938
10,Hill Climbing,False,90,0.0049974918365478516
10,Hill Climbing,False,90,0.0059969425201416016
10,Hill Climbing,False,90,0.003998279571533203
10,Hill Climbing,False,90,0.005997180938720703
10,Hill Climbing,False,90,0.003997087478637695
10,Hill Climbing,False,90,0.004996538162231445
10,Hill Climbing,False,90,0.0049974918365478516
10,Hill Climbing,False,90,0.004997730255126953
10,Hill Climbing,False,90,0.0059967041015625
10,Hill Climbing,False,90,0.0049974918365478516
10,Hill Climbing,False,90,0.006995677947998047
10,Hill Climbing,False,90,0.003997802734375
10,Hill Climbing,False,90,0.005991458892822266
10,Hill Climbing,False,90,0.004998445510864258
10,Hill Climbing,False,90,0.005995512008666992
10,Hill Climbing,False,90,0.00499725341796875
10,Hill Climbing,False,90,0.0039975643157958984
10,Hill Climbing,False,90,0.0059967041015625
10,Hill Climbing,False,90,0.003996849060058594
10,Hill Climbing,False,90,0.004996776580810547
10,Hill Climbing,False,90,0.004997730255126953
10,Hill Climbing,False,90,0.004998207092285156
10,Hill Climbing,False,90,0.00499725341796875
10,Hill Climbing,False,90,0.0039980411529541016
10,Hill Climbing,False,90,0.0059964656829833984
10,Hill Climbing,False,90,0.0039980411529541016
10,Hill Climbing,False,90,0.0059969425201416016
10,Hill Climbing,False,90,0.0059969425201416016
10,Hill Climbing,False,90,0.0049970149993896484
10,Hill Climbing,False,90,0.005997180938720703
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.00099945068359375
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0009992122650146484
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0009992122650146484
4,Simulated Annealing,False,16,0.0009989738464355469
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0009989738464355469
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0010004043579101562
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0010006427764892578
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0009989738464355469
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0010004043579101562
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0
4,Simulated Annealing,False,16,0.0009987354278564453
4,Simulated Annealing,False,16,0.00099945068359375
8,Simulated Annealing,False,64,0.0029993057250976562
8,Simulated Annealing,False,64,0.0019996166229248047
8,Simulated Annealing,False,64,0.00299835205078125
8,Simulated Annealing,False,64,0.0029981136322021484
8,Simulated Annealing,False,64,0.002998828887939453
8,Simulated Annealing,False,64,0.0019989013671875
8,Simulated Annealing,False,64,0.002997875213623047
8,Simulated Annealing,False,64,0.0019974708557128906
8,Simulated Annealing,False,64,0.0039980411529541016
8,Simulated Annealing,False,64,0.002988576889038086
8,Simulated Annealing,False,64,0.0029990673065185547
8,Simulated Annealing,False,64,0.002997875213623047
8,Simulated Annealing,False,64,0.001998424530029297
8,Simulated Annealing,False,64,0.001997709274291992
8,Simulated Annealing,False,64,0.0019986629486083984
8,Simulated Annealing,False,64,0.0019996166229248047
8,Simulated Annealing,False,64,0.0019981861114501953
8,Simulated Annealing,False,64,0.003997325897216797
8,Simulated Annealing,False,64,0.0029973983764648438
8,Simulated Annealing,False,64,0.0019991397857666016
8,Simulated Annealing,False,64,0.0039980411529541016
8,Simulated Annealing,False,64,0.00299835205078125
8,Simulated Annealing,False,64,0.001999378204345703
8,Simulated Annealing,False,64,0.0039980411529541016
8,Simulated Annealing,False,64,0.002997159957885742
8,Simulated Annealing,False,64,0.001999378204345703
8,Simulated Annealing,False,64,0.002997875213623047
8,Simulated Annealing,False,64,0.002997159957885742
8,Simulated Annealing,False,64,0.0019986629486083984
8,Simulated Annealing,False,64,0.0019979476928710938
10,Simulated Annealing,False,100,0.005996227264404297
10,Simulated Annealing,False,100,0.006996870040893555
10,Simulated Annealing,False,100,0.004996061325073242
10,Simulated Annealing,False,100,0.005997419357299805
10,Simulated Annealing,False,100,0.0049970149993896484
10,Simulated Annealing,False,100,0.005995512008666992
10,Simulated Annealing,False,100,0.0049974918365478516
10,Simulated Annealing,False,100,0.0059969425201416016
10,Simulated Annealing,False,100,0.00699615478515625
10,Simulated Annealing,False,100,0.0059969425201416016
10,Simulated Annealing,False,100,0.008996248245239258
10,Simulated Annealing,False,100,0.039977312088012695
10,Simulated Annealing,False,100,0.0179903507232666
10,Simulated Annealing,False,100,0.005997657775878906
10,Simulated Annealing,False,100,0.005995988845825195
10,Simulated Annealing,False,100,0.007994651794433594
10,Simulated Annealing,False,100,0.005996227264404297
10,Simulated Annealing,False,100,0.005995512008666992
10,Simulated Annealing,False,100,0.007996559143066406
10,Simulated Annealing,False,100,0.005995035171508789
10,Simulated Annealing,False,100,0.005996227264404297
10,Simulated Annealing,False,100,0.005995273590087891
10,Simulated Annealing,False,100,0.0059967041015625
10,Simulated Annealing,False,100,0.005995988845825195
10,Simulated Annealing,False,100,0.0059967041015625
10,Simulated Annealing,False,100,0.005997419357299805
10,Simulated Annealing,False,100,0.0069959163665771484
10,Simulated Annealing,False,100,0.0059967041015625
10,Simulated Annealing,False,100,0.0069959163665771484
10,Simulated Annealing,False,100,0.007996320724487305
